2018-10-18 13:02:28 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:02:28 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:02:28 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:02:28 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:02:28 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:03:17 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:03:20 [ INFO] - HttpTools  -response filter
2018-10-18 13:03:20 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:03:20 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:03:20 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:03:21 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:03:21 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:03:21 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:03:21 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:04:13 [ INFO] - HttpTools  -接口名称:新闻
2018-10-18 13:04:16 [ INFO] - HttpTools  -response filter
2018-10-18 13:04:16 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:04:16 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:04:16 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:04:17 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:04:17 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:04:17 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:04:17 [ INFO] - HttpTools  -响应解析的值:8
2018-10-18 13:04:17 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:04:18 [ INFO] - HttpTools  -response filter
2018-10-18 13:04:18 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:04:18 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:04:18 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:04:18 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:04:18 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:04:18 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:04:18 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:20:18 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:21:03 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:25:06 [ INFO] - HttpTools  -初始化环境!
2018-10-18 13:52:48 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:52:49 [ INFO] - HttpTools  -接口名称:新闻
2018-10-18 13:52:50 [ INFO] - HttpTools  -response filter
2018-10-18 13:52:50 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:52:50 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:52:50 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:52:50 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:52:50 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:52:50 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:52:50 [ INFO] - HttpTools  -响应解析的值:8
2018-10-18 13:52:50 [ INFO] - HttpTools  -接口名称:app首页
2018-10-18 13:52:51 [ INFO] - HttpTools  -response filter
2018-10-18 13:52:51 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:52:51 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:52:51 [ INFO] - HttpTools  -断言数据列表:["code","200"]
2018-10-18 13:52:51 [ INFO] - HttpTools  -响应解析的值:200
2018-10-18 13:52:51 [ INFO] - HttpTools  -断言类型:eq
2018-10-18 13:52:51 [ INFO] - HttpTools  -断言数据列表:["data.size()","8"]
2018-10-18 13:52:51 [ INFO] - HttpTools  -响应解析的值:12
2018-10-18 13:53:37 [ INFO] - HttpTools  --f:测试用例路径

2018-10-18 13:53:37 [ INFO] - HttpTools  -接口名称:新闻
2018-10-18 13:53:38 [ INFO] - HttpTools  -response filter
2018-10-18 13:53:38 [ INFO] - HttpTools  -断言接口状态码
2018-10-18 13:53:38 [ INFO] - HttpTools  -断言类型:eq
