2018-10-16 22:49:41 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:49:41 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 22:49:42 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 22:49:42 [ INFO] - HttpTools  -获取天气
2018-10-16 22:49:44 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:49:44 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:49:44 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 22:49:44 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@304b9f1a
2018-10-16 22:51:09 [ INFO] - HttpTools  -百度首页
2018-10-16 22:51:11 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:51:11 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:51:11 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:52:06 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@379ce046
2018-10-16 22:52:06 [ INFO] - HttpTools  -查询快递
2018-10-16 22:52:08 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:52:08 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:52:08 [ INFO] - HttpTools  -断言数据列表:["message","ok"]
2018-10-16 22:52:08 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@73fc518f
2018-10-16 22:52:08 [ INFO] - HttpTools  -用户中心
2018-10-16 22:52:09 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:52:09 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:52:09 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 22:52:09 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 22:52:09 [ INFO] - HttpTools  -获取天气
2018-10-16 22:52:09 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:52:09 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:52:09 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 22:52:09 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@6ad16c5d
2018-10-16 22:54:02 [ INFO] - HttpTools  -百度首页
2018-10-16 22:54:04 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:54:04 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:54:04 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:56:15 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@379ce046
2018-10-16 22:56:15 [ INFO] - HttpTools  -查询快递
2018-10-16 22:56:15 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:56:15 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:56:15 [ INFO] - HttpTools  -断言数据列表:["message","ok"]
2018-10-16 22:56:15 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@73fc518f
2018-10-16 22:56:15 [ INFO] - HttpTools  -用户中心
2018-10-16 22:56:16 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:56:16 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:56:16 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 22:56:17 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 22:56:17 [ INFO] - HttpTools  -获取天气
2018-10-16 22:56:17 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:56:17 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:56:17 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 22:56:17 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@6ad16c5d
2018-10-16 22:57:20 [ INFO] - HttpTools  -百度首页
2018-10-16 22:57:21 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:57:21 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:57:21 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:57:21 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@4a9e6faf
2018-10-16 22:57:21 [ INFO] - HttpTools  -查询快递
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言数据列表:["message","ok"]
2018-10-16 22:57:22 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@71f67a79
2018-10-16 22:57:22 [ INFO] - HttpTools  -用户中心
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 22:57:22 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 22:57:22 [ INFO] - HttpTools  -获取天气
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:57:22 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 22:57:22 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@304b9f1a
2018-10-16 23:07:15 [ INFO] - HttpTools  -百度首页
2018-10-16 23:07:18 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:07:18 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:07:18 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 23:07:18 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@2755d705
2018-10-16 23:07:18 [ INFO] - HttpTools  -查询快递
2018-10-16 23:07:20 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:07:20 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:07:20 [ INFO] - HttpTools  -断言数据列表:["message","ok"]
2018-10-16 23:07:20 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@3277e499
2018-10-16 23:07:20 [ INFO] - HttpTools  -用户中心
2018-10-16 23:07:23 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:07:23 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:07:23 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 23:07:24 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 23:07:24 [ INFO] - HttpTools  -获取天气
2018-10-16 23:07:27 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:07:27 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:07:27 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
2018-10-16 23:07:27 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@1e411d81
2018-10-16 23:23:33 [ INFO] - HttpTools  -获取天气
2018-10-16 23:23:34 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 23:23:34 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 23:23:34 [ INFO] - HttpTools  -断言数据列表:["infocode","000000"]
